"","X","V1","V2","V3","V4","Type","Species","Life_Stage","Hydraulic","Node"
"41",1,"23.5213140179019","23.5213140179019","23.5213140179019",0.716515226156851,"Q_limit1","Toad","Breeding/Eegs","Depth","L02-023"
"42",2,"23.5213140179019","23.5213140179019","23.5213140179019",0.716515226156851,"Q_limit2","Toad","Breeding/Eegs","Depth","L02-023"
"43",3,"15","15","15",15,"Hydraulic_limit1","Toad","Breeding/Eegs","Depth","L02-023"
"44",4,"15","15","15",15,"Hydraulic_limit2","Toad","Breeding/Eegs","Depth","L02-023"
"45",1,"23.5213140179019","23.5213140179019","23.5213140179019",0.000629421108505067,"Q_limit1","Toad","Breeding/Eggs","Velocity","L02-023"
"46",2,"23.5213140179019","23.5213140179019","23.5213140179019",0.000629421108505067,"Q_limit2","Toad","Breeding/Eggs","Velocity","L02-023"
"47",3,"0.05","0.05","0.05",0.05,"Hydraulic_limit1","Toad","Breeding/Eggs","Velocity","L02-023"
"48",4,"0.05","0.05","0.05",0.05,"Hydraulic_limit2","Toad","Breeding/Eggs","Velocity","L02-023"
"49",1,"23.5213140179019","23.5213140179019","23.5213140179019",3.08845530393248,"Q_limit1","Toad","Tadpole","Depth","L02-023"
"50",2,"23.5213140179019","23.5213140179019","23.5213140179019",3.08845530393248,"Q_limit2","Toad","Tadpole","Depth","L02-023"
"51",3,"30","30","30",30,"Hydraulic_limit1","Toad","Tadpole","Depth","L02-023"
"52",4,"30","30","30",30,"Hydraulic_limit2","Toad","Tadpole","Depth","L02-023"
"53",1,"23.5213140179019","23.5213140179019","23.5213140179019",3.08845530393248,"Q_limit1","Toad","Tadpole","Depth","L02-023"
"54",2,"23.5213140179019","23.5213140179019","23.5213140179019",3.08845530393248,"Q_limit2","Toad","Tadpole","Depth","L02-023"
"55",3,"30","30","30",30,"Hydraulic_limit1","Toad","Tadpole","Depth","L02-023"
"56",4,"30","30","30",30,"Hydraulic_limit2","Toad","Tadpole","Depth","L02-023"
"57",1,"23.5213140179019","23.5213140179019","23.5213140179019",0.0484189188137665,"Q_limit1","Toad","Tadpole","Velocity","L02-023"
"58",2,"23.5213140179019","23.5213140179019","23.5213140179019",0.0484189188137665,"Q_limit2","Toad","Tadpole","Velocity","L02-023"
"59",3,"0.4","0.4","0.4",0.4,"Hydraulic_limit1","Toad","Tadpole","Velocity","L02-023"
"60",4,"0.4","0.4","0.4",0.4,"Hydraulic_limit2","Toad","Tadpole","Velocity","L02-023"
